Fra_dato,Mængde,Måleenhed,Kvalitet,Type
05/01/2023 06.00,0.04375,KWH,Målt,Tidsserie
05/01/2023 07.00,0.06875,KWH,Målt,Tidsserie
05/01/2023 08.00,00.59,KWH,Målt,Tidsserie
05/01/2023 09.00,0.10625,KWH,Målt,Tidsserie
05/01/2023 10.00,00.58,KWH,Målt,Tidsserie
05/01/2023 11.00,01.06,KWH,Målt,Tidsserie
05/01/2023 12.00,01.31,KWH,Målt,Tidsserie
05/01/2023 13.00,0.0597222222222222,KWH,Målt,Tidsserie
05/01/2023 14.00,00.58,KWH,Målt,Tidsserie
05/01/2023 15.00,00.09,KWH,Målt,Tidsserie
05/01/2023 16.00,01.31,KWH,Målt,Tidsserie
05/01/2023 17.00,01.37,KWH,Målt,Tidsserie
05/01/2023 18.00,01.07,KWH,Målt,Tidsserie
05/01/2023 19.00,0.109722222222222,KWH,Målt,Tidsserie
05/01/2023 20.00,01.38,KWH,Målt,Tidsserie
05/01/2023 21.00,0.0611111111111111,KWH,Målt,Tidsserie
05/01/2023 22.00,0.0479166666666667,KWH,Målt,Tidsserie
05/01/2023 23.00,00.53,KWH,Målt,Tidsserie
06/01/2023 00.00,00.47,KWH,Målt,Tidsserie
06/01/2023 01.00,00.39,KWH,Målt,Tidsserie
06/01/2023 02.00,00.36,KWH,Målt,Tidsserie
06/01/2023 03.00,00.45,KWH,Målt,Tidsserie
06/01/2023 04.00,00.45,KWH,Målt,Tidsserie
06/01/2023 05.00,00.37,KWH,Målt,Tidsserie
06/01/2023 06.00,00.48,KWH,Målt,Tidsserie
06/01/2023 07.00,01.54,KWH,Målt,Tidsserie
06/01/2023 08.00,01.56,KWH,Målt,Tidsserie
06/01/2023 09.00,01.01,KWH,Målt,Tidsserie
06/01/2023 10.00,0.0444444444444444,KWH,Målt,Tidsserie
06/01/2023 11.00,00.44,KWH,Målt,Tidsserie
06/01/2023 12.00,00.23,KWH,Målt,Tidsserie
06/01/2023 13.00,00.22,KWH,Målt,Tidsserie
06/01/2023 14.00,00.16,KWH,Målt,Tidsserie
06/01/2023 15.00,00.46,KWH,Målt,Tidsserie
06/01/2023 16.00,01.08,KWH,Målt,Tidsserie
06/01/2023 17.00,02.16,KWH,Målt,Tidsserie
06/01/2023 18.00,00.55,KWH,Målt,Tidsserie
06/01/2023 19.00,0.0493055555555556,KWH,Målt,Tidsserie
06/01/2023 20.00,0.0458333333333333,KWH,Målt,Tidsserie
06/01/2023 21.00,00.05,KWH,Målt,Tidsserie
06/01/2023 22.00,00.51,KWH,Målt,Tidsserie
06/01/2023 23.00,00.45,KWH,Målt,Tidsserie
07/01/2023 00.00,00.45,KWH,Målt,Tidsserie
07/01/2023 01.00,00.03,KWH,Målt,Tidsserie
07/01/2023 02.00,00.28,KWH,Målt,Tidsserie
07/01/2023 03.00,00.28,KWH,Målt,Tidsserie
07/01/2023 04.00,00.27,KWH,Målt,Tidsserie
07/01/2023 05.00,00.27,KWH,Målt,Tidsserie
07/01/2023 06.00,00.03,KWH,Målt,Tidsserie
07/01/2023 07.00,00.26,KWH,Målt,Tidsserie
07/01/2023 08.00,00.27,KWH,Målt,Tidsserie
07/01/2023 09.00,01.18,KWH,Målt,Tidsserie
07/01/2023 10.00,01.33,KWH,Målt,Tidsserie
07/01/2023 11.00,01.06,KWH,Målt,Tidsserie
07/01/2023 12.00,0.04375,KWH,Målt,Tidsserie
07/01/2023 13.00,00.39,KWH,Målt,Tidsserie
07/01/2023 14.00,01.39,KWH,Målt,Tidsserie
07/01/2023 15.00,01.39,KWH,Målt,Tidsserie
07/01/2023 16.00,01.03,KWH,Målt,Tidsserie
07/01/2023 17.00,0.103472222222222,KWH,Målt,Tidsserie
07/01/2023 18.00,01.36,KWH,Målt,Tidsserie
07/01/2023 19.00,01.26,KWH,Målt,Tidsserie
07/01/2023 20.00,0.0576388888888889,KWH,Målt,Tidsserie
07/01/2023 21.00,00.08,KWH,Målt,Tidsserie
07/01/2023 22.00,00.05,KWH,Målt,Tidsserie
