Fra_dato;Mængde;Måleenhed;Kvalitet;Type
07/01/2023 11.00;00.06;KWH;Målt;Tidsserie
07/01/2023 12.00;01.27;KWH;Målt;Tidsserie
07/01/2023 13.00;00.33;KWH;Målt;Tidsserie
07/01/2023 14.00;00.09;KWH;Målt;Tidsserie
07/01/2023 15.00;00.01;KWH;Målt;Tidsserie
07/01/2023 16.00;00.54;KWH;Målt;Tidsserie
07/01/2023 17.00;0.0965277777777778;KWH;Målt;Tidsserie
07/01/2023 18.00;01.06;KWH;Målt;Tidsserie
07/01/2023 19.00;01.33;KWH;Målt;Tidsserie
07/01/2023 20.00;01.15;KWH;Målt;Tidsserie
07/01/2023 21.00;0.0444444444444444;KWH;Målt;Tidsserie
07/01/2023 22.00;00.06;KWH;Målt;Tidsserie
07/01/2023 23.00;00.56;KWH;Målt;Tidsserie
08/01/2023 00.00;00.54;KWH;Målt;Tidsserie
08/01/2023 01.00;00.57;KWH;Målt;Tidsserie
08/01/2023 02.00;00.58;KWH;Målt;Tidsserie
08/01/2023 03.00;00.53;KWH;Målt;Tidsserie
08/01/2023 04.00;00.57;KWH;Målt;Tidsserie
08/01/2023 05.00;00.24;KWH;Målt;Tidsserie
08/01/2023 06.00;00.16;KWH;Målt;Tidsserie
08/01/2023 07.00;00.14;KWH;Målt;Tidsserie
08/01/2023 08.00;00.13;KWH;Målt;Tidsserie
08/01/2023 09.00;00.14;KWH;Målt;Tidsserie
08/01/2023 10.00;00.06;KWH;Målt;Tidsserie
08/01/2023 11.00;0;KWH;Målt;Tidsserie
08/01/2023 12.00;00.14;KWH;Målt;Tidsserie
08/01/2023 13.00;00.24;KWH;Målt;Tidsserie
08/01/2023 14.00;00.02;KWH;Målt;Tidsserie
08/01/2023 15.00;00.26;KWH;Målt;Tidsserie
08/01/2023 16.00;0.0604166666666667;KWH;Målt;Tidsserie
08/01/2023 17.00;0.0597222222222222;KWH;Målt;Tidsserie
08/01/2023 18.00;01.45;KWH;Målt;Tidsserie
08/01/2023 19.00;0.0479166666666667;KWH;Målt;Tidsserie
08/01/2023 20.00;01.37;KWH;Målt;Tidsserie
08/01/2023 21.00;01.03;KWH;Målt;Tidsserie
08/01/2023 22.00;00.02;KWH;Målt;Tidsserie
08/01/2023 23.00;00.13;KWH;Målt;Tidsserie
09/01/2023 00.00;00.11;KWH;Målt;Tidsserie
09/01/2023 01.00;00.12;KWH;Målt;Tidsserie
09/01/2023 02.00;00.13;KWH;Målt;Tidsserie
09/01/2023 03.00;00.12;KWH;Målt;Tidsserie
09/01/2023 04.00;00.13;KWH;Målt;Tidsserie
09/01/2023 05.00;00.15;KWH;Målt;Tidsserie
09/01/2023 06.00;00.21;KWH;Målt;Tidsserie
09/01/2023 07.00;00.24;KWH;Målt;Tidsserie
09/01/2023 08.00;00.01;KWH;Målt;Tidsserie
09/01/2023 09.00;00.14;KWH;Målt;Tidsserie
09/01/2023 10.00;00.08;KWH;Målt;Tidsserie
09/01/2023 11.00;0;KWH;Målt;Tidsserie
09/01/2023 12.00;0;KWH;Målt;Tidsserie
09/01/2023 13.00;0;KWH;Målt;Tidsserie
09/01/2023 14.00;00.01;KWH;Målt;Tidsserie
09/01/2023 15.00;00.16;KWH;Målt;Tidsserie
09/01/2023 16.00;00.44;KWH;Målt;Tidsserie
09/01/2023 17.00;01.39;KWH;Målt;Tidsserie
09/01/2023 18.00;01.01;KWH;Målt;Tidsserie
09/01/2023 19.00;00.59;KWH;Målt;Tidsserie
